New Stock Screen
2026-06-06

Ticker,Name,Last,Rank,MktCap,ccFIGI,PeriodDateQ,SectorCode,IndCode,Pr4W%Chg,SalesGr%TTM,EPSExclXorGr%TTM,PEExclXorTTM,ProjPECurFY,PEGLT,Yield,
SONY,Sony Group Corp.,21.89,97.10,127467.34,BBG000BT7ZK6,2025-12-31,TECH,COMPUTER,10.06,-11.64,-116.17,N/A,16.65,2.77,0.72,
BBVA,Banco Bilbao Vizcaya Argentaria SA,22.22,97.08,126854.03,BBG000BXD232,2026-03-31,FINANCIAL,BANKSINTL,1.60,-10.12,13.24,10.16,9.41,0.89,4.83,
UL,Unilever PLC,56.72,97.05,124498.56,BBG000BW1442,2025-12-31,NONCYCLICAL,PERSONALCAREPRODUCT,-3.42,-13.78,11.80,18.10,15.21,3.91,4.02,
ENB,"Enbridge, Inc.",56.31,97.03,122828.90,BBG000K5M1S8,2026-03-31,ENERGY,MIDSTREAMENERGY,4.30,14.60,10.05,26.30,26.70,6.82,4.95,
LMT,Lockheed Martin Corp.,523.76,97.00,122279.66,BBG000C1BW00,2026-03-31,INDUSTRIAL,AERODEF,2.22,4.59,-10.81,25.37,17.50,0.92,2.63,
CVS,CVS Health Corp.,95.93,96.98,121776.66,BBG000BGRY34,2026-03-31,NONCYCLICAL,PERSONALCARERETAIL,9.81,7.68,-45.60,42.13,12.97,0.90,2.77,
MO,"Altria Group, Inc.",72.19,96.95,121183.30,BBG000BP6LJ8,2026-03-31,NONCYCLICAL,TOBACCO,4.56,0.75,-19.93,15.09,12.71,3.35,5.87,
PDD,"PDD Holdings, Inc.",85.07,96.93,121088.34,BBG00LBLDDR2,2026-03-31,NONCYCLICAL,GENMERCH,-16.20,11.69,-1.20,9.27,8.24,1.05,0.00,
PGR,Progressive Corp.,204.02,96.90,119636.78,BBG000BR37X2,2026-03-31,FINANCIAL,INSURANCE,4.22,13.89,32.51,10.37,12.43,6.11,6.81,
HDB,HDFC Bank Ltd.,23.41,96.88,118450.72,BBG000NWKS18,2025-12-31,FINANCIAL,BANKSINTL,-8.80,0.82,2.01,14.01,13.49,1.35,1.79,
